Profile_Name,Rating_Star,Headings,Base_Reviews,category
David Crook,,,"Walking distances aren't accurate. Walked 7 miles today and the app only recorded 6 miles. Previous version I used allowed adjustment to step length, not sure why this is not possible. Clearly one size does not fit all.",Functionality and Features
Jon Hookey,,,"OK, but GPS is woefully inaccurate. I walked the same route on 2 consecutive nights, and there was a difference of nearly half a mile for a nearly identical step count. It's a shame as otherwise I would have given 4 stars.",Functionality and Features
Frederic Marais,,,This app has a tendency to not automatically resume after pausing during a training session. Very frustrating to realize your last hour of a hike has not been recorded. Not sure where the problem lies.,Functionality and Features
Ed Smith,,,"I'm rating this app as a 3 but it has the potential to go to 5. The past week I've walked 5 mile's per day, everyday. The history shows my gps route as thumbnail size as well as the data, but when i click on the picture it tells me the gps is turned off and I don't get the data either.",Compatibility and Device Issues
Nicole M,,,"I have been using this app aimed May 29th with no problem. The last few days, i.e. today I was at 20.1 miles and it reset itself. Then I was at 1.48 miles as the stat over and it shot up to 6 miles. Not sure what's going on but please fix it. I love this app.",Functionality and Features
Michael M,,,"Good app. BUT - some days it registers zero steps - it just switches itself off! And there is no way I can find to switch it on! I've sent messages to the developers but they don't reply. :-( Thanks for the reply, but there is no ""how to fix"" option on my profile page. ,:-(",Functionality and Features
Katie Budil,,,"This app doesn't seem to accurately track my miles. When I compare the miles I've run to the miles using my speedometer in my car, it is vastly different. I get that it may be off by a few tenths, but the same route driven and ran is off by miles.",Functionality and Features
Imraan Ã¢â¬Å_mraanÃ¢â¬,,,Excellent GPS mapping for outdoor walking. Would be better to have a weather section to each session. Water tracker needs a custom cup size and there's no need for an animation every time I add to the tracker,Functionality and Features
Frank Hong,,,"Step tracker is largely accurate. However, the Leaderboard is a bit short: (1) right after midnight & maybe into 1 or 2 a.m. EST the ranked list randomly resets to the top 30 when scrolled down using the More button, (2) when functioning normally the max list is limited to the top 500, (3) no option to allow >30 per retrieval, (4) no way to Like back to fans who have Liked, (5) no mechanism that allows interaction among users, (6) allows only Facebook login, not even Google account login.",Functionality and Features
RAJESH KUMAR MESA (DR RAJESH MESA),,,"Ok. If weight loossing graph is there, ot would be more beneficial.",Performance and Stability
David J.,,,"Can be wildly inaccurate. Some walks, when compared to Google maps are spot on. On other walks, using same comparison and same settings, the distance was off by 60%, despite the GPS route being correct.",Functionality and Features
Bandana Choudhury (Seasons in the Sun),,,I have installed this app after reading the good reviews. But it keeps giving faulty readings of distance and steps. This has happened a few times and then I had to restart all over again. That way I had to lose the distance and step count.,Functionality and Features
Salvador Garcia Barrafon,,,"Sometimes the counter does not work. I don't know why. It isn't in pause. To fix it I have to open, put the pause on and after put the pause off. Then it starts to count. Another thing I don't like isn't the same number of counts as the phone one.",Functionality and Features
John Alexander,,,"When it works it's great, but it is frustrating when it stops counting, normally after the app has been updated but today it counted about 600 steps and then ignored a two mile walk and started counting again later in the day.",Functionality and Features
Steven Stovall,,,"Just used to be a great app. The ads on her happy came so intrusive though, I'm close to just uninstalling it..",Functionality and Features
Noopsy,,,"Very good app, although the step count can be falsely produced to very high numbers by lightly shaking your phone up and down (as a step would move your phone) as long as you are producing As long as you are in some kind of forward motion (bike, car, unicycle, etc.). Unfortunately, I uninstalled because of this. Sorry.",Performance and Stability
Bill Davidson,,,"Pedometer count seemed consistent, agreed with other app. GPS distance also accurate, but disappointed no elevation stats offered. Too many ads, too many interruptions - just want to start and stop when I want to use it. It's OK though, if you want a pocket personal trainer.",Functionality and Features
Sam O'Donnell,,,It's ok for just tracking steps in a general sense. Recently the amount of ads have increased and they default to playing with sound (so far I've found no way to mute ads before they start playing),Functionality and Features
Debbi Vanderwert,,,"Great for working out distance, step, etc. But the map of my last walk, even though I followed the same path all the way, the map was ALL over the place! Looked like a pre-school kid scribbled all over my screen!.",Functionality and Features
Fraser Henderson,,,"This app has incessant notifications. I used it for 5 days during which time it sent audible notifications no less than 15 times. I have no wish to be hounded by an app. I can look at an app when I need to. When the app demands attention, it's soon uninstalled, as this one is.",Functionality and Features
William McCollom,,,Had a similar version for 6 months and it worked perfectly. But in the last few weeks it stopped working for no reason. It was not counting my steps at all. Hopefully this version will be better.,Functionality and Features
Ottar Bergmann,,,I do more steps without my phone so i am at football practice abd some othe stuff but its cool it can know how much you drink and your health but not glad that i take at least 10k steps a day and i know it when i go home from school at least 1k steps but cool app so 3 stars,Functionality and Features
Shirleyann Goodman-Young,,,"I found it difficult to adjust to my use. Very persistent to stop as was draining my battery continually. I wanted to stop it completely when I didn't need to use it and I couldn't, it kept coming back to life.",Performance and Stability
Shruti Joshi,,,Worked awesome for 2 days. After that doesnt count at all or stops counting for sometime & resumes afterwards. Doesnt function well when we use other apps at same time. Counts steps when im shaking the phone..But better than many other apps i tried. Few problems are happening like these pls improve i would keep using it!! I liked how well it worked for 2 days and also i like its presentation and looks when we open it & the way it shows you information. Its not boring like other apps i tried.,Functionality and Features
Barry F,,,"Great app. I'm hooked on it. I had no idea how many miles I walked on an average day. Now I know. EDIT: I bought anew phone and added the app butter new version has loud pop-up ads. Going to search for another that does have e irritating ads. ANOTHER EDIT: Yes, we can get rid of obnoxious ads for a self renewing subscription. My solution is to change pedometer app. Your newad strategy is very irritating.",Performance and Stability
Nicky Andre,,,When is the new version coming? After 100 X 20k steps (30 k etc) the number is replaced by a star. The user no longer gets to see how many times 20k steps ( for example) After 6300 km no more target... I have also sent you an email with the screenshot. Maybe an update on the way?,Functionality and Features
Brandon Petroski,,,"This app used to be amazing, but the intrusive ads seem to actually be breaking the core functionality now. I've had several instances of the app simply not recording steps, because the ads had to load in. I'm a developer for a living, and my only educated guess would be that your ad module was trying to pull in data from your ad vendor, but since I was roaming or traveling, it couldn't pull the ads, and thus the step tracking functionality failed. Edit: Fixed my horrendous spelling.",Customer Support and Responsiveness
Glenys Paterson,,,"Found it to be good in the past. BUT, now it doesn't count my steps. Walked 2.5 miles,but no steps! Going to uninstall",Performance and Stability
Jeff Baker,,,All my data was wiped out.I even did a reinstall.Too bad.I waa at the highest level. Well my data came back.Still has its flaws with too many ads and not consistant,Performance and Stability
GARY STEINGROOT,,,I liked this app then I got a new phone and had to start all over no history very disappointed,Functionality and Features
Patrick Mason,,,"The steps are not counted correctly. Sometimes, it doesn't go up at all even though I am walking fast. I will try for a bit longer. If it doesn't improve, then I will uninstall",User Interface and UX
Steven Stovall,,,"Just used to be a great app. The ads on her happy came so intrusive though, I'm close to just uninstalling it..",Functionality and Features
Sally Gardner,,,I've been very happy with this app for three years for counting daily and weekly steps. However it is now running long adverts that cannot be switched off. You are locked i to them. So I shall uninstall and seek another.,Functionality and Features
Dobby Morse,,,"It was working for a while, but it stopped counting my steps all the sudden. I checked permissions and didn't find anything wrong. The update didn't fix it",Functionality and Features
Nicole M,,,"I have been using this app aimed May 29th with no problem. The last few days, i.e. today I was at 20.1 miles and it reset itself. Then I was at 1.48 miles as the stat over and it shot up to 6 miles. Not sure what's going on but please fix it. I love this app.",Functionality and Features
Donna Newton,,,It didn't pick up my last 2 days of walking. How do I find them?,Performance and Stability
Alex Gibson,,,Was 10/10 until the developers got greedy and put ads on.,Performance and Stability
Global company,,,Application need to be add some more function ...... currently not bad ....,Functionality and Features
Heidelberg Graphics,,,Switched to another language that I can't read or interpret. Occasionally blurts something in a foreign language when not in use..,User Interface and UX
Jade_ Lovely (Jade),,,It works great although it counts steps even if I'm not walking but it only happens rarelyÃ¢â¢Â¡,Functionality and Features
Brian P,,,"Was good for a good long while. I don't have an issue with occasional ads but now it's every time I interact with the app, shame really. Deleted it.",User Interface and UX
Heather P-J,,,"Does what it sets out to do, my steps & mileage, I try to walk over 5,000 steps, it's been more like 8,000 to 13,000 since the lock down! Have been using up to June '23. However in 2022 started getting full page adverts, with 4 or 5 secs. before being able to delete, most annoying! Have reduced by 1 star because of this. You say in app purchases, can one pay just to remove adverts only? Heather",Functionality and Features
Ben Blau,,,This is a 3 star because it's very inaccurate. This also has ads every 10 mins you're on it. (But that's not so bad). The only reason it's not lower is because it's great If your running or even going on a walk with the GPS. That's it.,Functionality and Features
Peace 2U LM,,,"The app worked quite well to begin with and I like the history, calories burned, time etc., but in the last few weeks it started making a loud sound a bit like an alarm of some kind. I've had to completely turn off the sound in order not to hear it while exercising. A few days ago it changed language without me being aware and I have no idea how to reset to English again. It would be good to find out how to do this.",Functionality and Features
Mark G,,,Map problems does not track where I am half the time good when it works,Compatibility and Device Issues
Maira Ali,,,good experince upto now.hope so will good in future,Performance and Stability
Jeff Simon,,,"It used to be good until they increased the annoying ads on the latest update, so not right! I can't pay for every app to be ad free, not rich at all! I think Google Fit is better now than having to deal with annoying ads everytime I go walking outside! Ã°Å¸Ëâ",Functionality and Features
Sam O'Donnell,,,It's ok for just tracking steps in a general sense. Recently the amount of ads have increased and they default to playing with sound (so far I've found no way to mute ads before they start playing),Performance and Stability
Levi,,,"Ads keep getting longer. Meh. Yes I know that's the revenue stream, it's just intrusive waiting 10s and clicking a tiny skip button so often.",Functionality and Features
Rachel Duffell,,,"This app is always running in the background. I have changed the settings in my phone to only allow app to run when in use, but it continues to turn on by itself. I emailed for help but no response. As far as tracking my walks, it does a great job.",Performance and Stability
Richard Abraham,,,Ads have become more prominent and hinders the experience that app is striving to provide,User Interface and UX
Kevin Senick,,,"Now there's a splash screen, and WAY more ads. Not happy at all with latest update.",Functionality and Features
Debra King (Debi),,,I am very happy with the performance of this app. However I am unsure how it will perform without having to swing my arm for the app to work. 3 Stars but room for 5 Stars,Performance and Stability
Kayla Vinson,,,I can't open in split screen windows anymore and could just yesterday,Functionality and Features
Aryeh,,,The latest update has a splash/loading screen that starts everytime the app is opened. It takes time to go away which makes it harder to quick check my steps.,Functionality and Features
Jeanne Barker,,,Tracked well up to a couple months ago. Today only tracked 700 steps on long walk.,Functionality and Features
Trail Trekker,,,"I've been repeatedly ignored about having more goals, incentives added. Nothing new. I'm not far from reaching ""Earth's core."" No new levels (I've been on highest one a long time. Guess I'll ditch the app when I reach that unless more levels, etc. are added.",Performance and Stability
Saurabh Kumar,,,The app slightly increase the no. of steps even when I'm in a car,Functionality and Features
Jen,,,"I would have given this more stars, a higher rating but it now just stops running. It used to run all the time, would always be tracking my steps, regardless if they were high or low..now nothing. Constantly having to go into the app in order for it to start working again. Its really disappointing",Performance and Stability
Arun S,,,Was good until 2 days back. Not opening at all now. My 2.5 years data is also gone,Functionality and Features
Mark Bolognini,,,I love the app and I love the reminders to drink water and especially the notifications telling you the equivalent of what you walked or ran. Such as x amount of miles you walked is the equivalent of going from London to Paris...my one issue would be the GPS. A lot of times it's inaccurate and may add or subtract a half a mile give or take. It's not all the time but it's enough to warrant an improvement,Compatibility and Device Issues
Krystal Lily,,,"I adore this app, it is easy to use, easy to understand. I keep coming back even after a few years because of how easy it is and how reliable it has become. The sensors aren't really easy to shake with your hand and actually change per step. Sometimes it needs a minute to load and that's okay. I really enjoy the training section. It let's me have a more active role in my workouts and keeps nice goals. Haven't spotted any disruptive ads yet.",Functionality and Features
Alex L,,,"I don't mind the banner ads, but seemingly randomly very obtrusive full screen ads appear and it's pretty frustrating. I like the app though. I'm going to try several step tracking apps before I buy one, and as I said I like this one, but I'm more frustrated with it than others as I'm in the middle of activity and a full screen ad pops up and delays me.",Functionality and Features
Judy Glover,,,Used this app for years without problems. But a couple annoying changes were made. First of all when I turn it on all the sudden it go to a blue screen where I had to wait while a little bar on the bottom was working. Before my screen just came up. Don't know what the use of that was for. And now they have all these ads that pop up over your information that you can't get rid of without getting out of the app and coming back. Today was worst! Everything changed to Chinese! Had to uninstall it!,User Interface and UX
Hoss Monkey,,,"The app is nice & have used it for over 500 miles. Doesn't seem to be very precise in measuring/Calculating distance, even with GPS turned on? Not a fan of the voice ques added recently & wasn't obvious how to turn off. Would be nice to be able continue tracking on same map should one accidentally hit Finish. Needs a mute button in app, as it counts down when starting exercise and has a cheer sound when hitting finish exercise. I think I paid $1.99 for app, despite its shortcomings.",Compatibility and Device Issues
Andy Lester,,,GPS accuracy has improved again. Thank you. Can I make one suggestion? The ultimate target is km to Earth's Core... what would be more fun is to say you've walked distance to Siberia etc. and have bigger targets that we can aim for. I will have reached the Earth's core soon... no clue what that looks like... then what's my target?? :)),Functionality and Features
Breanna Smith,,,"I have just downloaded it so I have no idea how good or bad this app is. Since it wouldn't let me move on unless I rated it, y'all get a one star for now. Ã°Å¸Ë",Functionality and Features
Wing-Leung Chan,,,"App generally seems to work well and is easy to use. I have not checked for accuracy. However there is something wrong with the way it adds up training and daily total. For example, it logged 5000 steps in a morning (which seems accurate) walk then 16000 steps in an evening walk (which seems high). I also do about 3000 just puttering around. However, it is saying that my total today is at 13000.",Functionality and Features
Muthukrishnan Sankaran,,,"Hi, App is awesome. Purchased for ad removal. Small suggestion for enhancement. It would be more help and improves user experience, if we have STEP PAUSE button in widget next to count. Everytime going into app to pause is little horrible in terms of use experience. Please consider in next update. Thanks.",User Interface and UX
Carol Dreyer,,,"Love the new app for me. I've tried others and they didn't work properly after awhile. I hate the ads, but I realize that the company needs them.",User Interface and UX
RUDRA PRAJAPATI,,,"This app is amazing it's is free also I watch some device is like that and it's prize is 10,000 Ã¢âÂ¹ that device has very sharp but it's prize are so high. I like that app but it need to improve its gyroscopic when I shack my phone it's automatically count that is a footsteps it need to some important......",User Interface and UX
Ann Banks,,,"Love the app, only thing is I had to update my mob and lost all what I had achieved eg had got as far as walking the Sahara Desert and only had about 300 steps to complete. This didn't happen with other Apps, having to start from the beginning again, not unless there is a way to get back to where I was? Bit disappointing tbh.",Functionality and Features
joy ubani,,,I love the app but how do I mute the voice . I keep hearing walkout paused walkout resume. Or is that this app works ???,Functionality and Features
Marshall,,,"This is an excellent step tracker which works well and is reasonably accurate. There are a few bugs with it that need to be ironed out still, the main one being that it often duplicates items in my training history and no matter how many times I delete the duplicates they reappear --this is very frustrating. Also would be nice to have some extra achievements or something beyond level 9.",Functionality and Features
Erik Alexander,,,Loved this app on my old phone but when I got my new phone my history didn't port over. Now I'm starting from scratch.,User Interface and UX
Dexter Kovach,,,"It's a great app,I've had it for a year and have reached the highest level,but the ads have got more annoying lately. Also,ADD MORE LEVELS I NEED MY SENCE OF ACCOMPLISHMENT",Functionality and Features
Manu Kotch,,,"Good app, works well on Samsung devices, minimal battery use. The built-in sounds are irritating and there is no way to turn them off. Please consider providing an option to silence the app. Note: I am not talking about the notifications, which can thankfully be controlled via the Android system settings.",Functionality and Features
Dave Read,,,"I downloaded this app a couple of months ago and it's worked very well. Nice achievements section too which keeps you interested. Only downside is the lack of yearly records which I had on a previous app. Great that it keeps daily, weekly & monthly totals but I liked having a record of of your annual figures too. If it had that option I'd have given it 5 stars.",Performance and Stability
Esi Bossman,,,"This app is pretty amazing, I love that it tracks my steps accurately and that it keeps my training history. Also love the little motivations when I'm running, it's like it almost knowns when I'm feeling a bit demotivated and tells me to keep pushing. One suggestion is if it could somehow appear on my lock screen so that when I'm running I can easily pause or see my distance without having to stop and unlock my phone first. Otherwise, no complaints. Thank you!",Compatibility and Device Issues
Chris Bridge,,,"You know, this app is really good, but the ads at the end drive me nuts. I am considering removing the app due to this. I once saw an option to pay to have the ads removed but can't find it again. I simply didn't have my credit card handy at the time. Also, I do not need the 1/2 way announcement, it is annoying. Same for the end of target distance. Please, allow us to kill these. Other announcements are disabled. I was hoping to be able to pay for ad removal on this site.",Functionality and Features
Lou,,,"I really like the app. I like that it tells me my stats while walking. It's easy to use and I like the GPS portion. The only thing I'm finding is that I do full mile markers, so yesterday I did 3 at lunch then 6 after work for a total of 9 miles. Today when I looked at my total for yesterday it says 8.26. I don't get the discrepancy, which part is off? Is gps off or the record keeping? It bugs me not having an accurate log. But, other than that it's simple and at least keeps me motivated.",Functionality and Features
Audra Kohler,,,"The only thing keeping me from 5 stars is that there is no way to edit water tracking from a previous day. I forgot to tell a bit of drinking water the other day that I had had, and I cannot go back and edit it to make the record complete. Really kind of frustrating, that. Bit other than that, the app is fully awesome!",Functionality and Features
Brian Sims,,,It counted the steps like it said it would don't really know how else to praise the app it's a step counter and it counts steps compared to most apps that is a five star rating in my opinion,Functionality and Features
Shane R (uÃ,,,"Pretty good so far, counted against several thousand actual steps while varying walking, jogging, and running on differing surfaces and it was accurate within 5% at default sensitivity, though it has recorded about 1-2 steps per minute while sitting since, so be sure to calibrate the sensitivity as with any measuring device. -1 star for the all-too-common trick of asking for a rating in the app and only sending 5-stars to Play store. Would have been -2 but the app rate button showed this.",Compatibility and Device Issues
Angela Mzunzu,,,Well it's pretty a good app it's able to record everystep that you take and you also able to track the amount of calories you have burnt. Including the GPS TRACKER that's the most amazing thing about this app. However there are some downfalls at times the app would automatically stop working meaning that you have to reboot for it to work again,Functionality and Features
Jane Mallinson,,,"Generally very happy with the app, but there are occasional glitches eg tell me no calories burned on a long walk or seems to jump distance covered or get pace per mile wrong eg 9 minutes per mile when I am walking. This has happened twice recently and is annoying as I am doing a distance challenge and need an accurate record of my mileage. I have altered the sensitivity to the highest as suggested in your reply, but the jump in distance happened again today. I can't walk a mile in 12 minutes!",Functionality and Features
pete stott,,,I'm now at level 18 Does that mean once iv walked that distance is that the end of the app? So can you please let me know what happens after that please,Performance and Stability
Dicky Joseph,,,Overall very cool and useful. I don't think its all that accurate. I also question its leaderboard system. The whole thing seems fake to me. I've seen three copies of two different people on my ranking thing. Not that it matters. The main thing is its great at giving you some sense of what you have done without buying a fit bit.,Functionality and Features
Regina Robinson,,,"I like this app for the fun goals that help me aim to achieve the fitness goals I have set for myself. For example, I am almost done walking from Boston to Philly, only 20.1 miles to go. I've already walked over 400,000 steps since the last week of December 2020. I reached level 9 in the first week of April 2021. I had a 30,000 plus step day yesterday. I just updated the app and am disappointed that there are no new goals to meet. No new levels to achieve. No new distances to walk.",Performance and Stability
A Google user,,,"Since most of the latest smart phones have a sensor in the power button to read fingerprints, I would like to see if this app can be utilized to give a reading of a person's heart rate by touching the sensor. Also, I know the app tracks the steps when you move around, but would it also count the steps when you remain in one place (such as running/walking on a treadmill).",Functionality and Features
Theo Wellington,,,"Have used the app for a while, but had to reset phone....where did the data go? All files on phone and memory card were backed up. Was it somehow stored as part of the app? Would like a way to download the data. Update: found the place in the menu to back up data, which is good, but developers should use standard data files. This was the only app that I know of that did not backup using recommended means. I physically saved everything on the phone, should have been able to recover.",Functionality and Features
Jean Zuchelli,,,I like the app but it seems to quite in a few weeks then I have unstable it and then put it back in in a few weeks.,Functionality and Features
Christi Green,,,"I have used this app for over a year. I love the achievements! Gives me incentive! Up until this last few weeks it has been fantastic. Lately it has been losing steps ( no big deal, as I don't care about step number, just miles) so I had to use the GPS training. Now it is losing distance. What used to be 2 miles is now 1.8 miles. Hoping the next update fixes this.",Functionality and Features
A Google user,,,The voice updates are extremely annoying for me because it distracts from whatever I'm listening to. I've turned off all the voice options and it still does it pretty often. Please make a way to turn them off completely and you'll get 5 stars. The app is great otherwise,Functionality and Features
A Google user,,,This is a very useful app. Distance walked and speed shown are accurate to a great extent. But calories indicated is not consistent. please have a look into my data. For same distance it shows different calories at different time. For example one day i walked 7.63 km.it showed 304 kcal. Another day i walked 7.61 km and showed only 301k cal. Borh are wrong. I am a man with 83 kg weight. As per the literature i will be spending 70-80 kcal per km walked. But this app shows appx. 45 kcal per km,Functionality and Features
Ray Valverde,,,"The App so nice, I downloaded it twice. I use it on 2 different devices. It can be a little wonky at times, since I use a different device to listen to music on my walks, (yes I know there's a music mode, but I've been using Pandora for 5 years and have the playlist all set up), I miss the voice telling me what my mile time is. I walk a lot of hills, so I know I am burning more calories than shown but it gives you a good idea how well you're doing. I love the achievements! Nothing like positive reinforcement to keep you going. Just hit 330k steps today, for those from Los Angeles that's up to the top of the Micheltorena stairs and back...lol. Love the GPS tracking, helps me plan my next walk, or reference a walk for the same mileage. Good Job! Update: 6/24 Today the App told me that on my 5.88 mile walk, I only took 5084 steps, but yesterday it took me 11103 steps to walk 5.64 miles. That's why I won't give it 5 stars!",Functionality and Features
Thomas Lewis,,,"My app language changed to what looks like Russian. There's no option to change the language. How is the language changed back to English? Well, there was no language option on the profiles page - so I unistalled it and installed it - all that history was lost - it would have been nice not to lose any history - starting out on the ground floor again. Walked 100 days with over 6000 steps per day - total distance was approaching Sahara desert goal :-)",Functionality and Features
Dawn Lochner,,,"It seems pretty straight forward. Like...its easy to navigate AND the ads aren't intrusive, in my opinion. I took 1 Ã¢",Functionality and Features
Sarah Roush,,,"This was a 5 star app until recently. When I select the GPS tracking for my walk, it's no longer accurate. I walk about twice as far as the distance it tells me I did. I might as well just use a stop watch in that case. Edit: make sure you have battery optimization turned off. resolved GPS issue.",Customer Support and Responsiveness
W Alexander,,,"This app counts steps pretty accurately. I've counted along with it just to be sure and it was very close on medium sensitivity. So, a good way to log steps. One problem I've had is the distance counting. It is way off at times. Your set step length doesn't seem to matter. Once I walked 5.7 miles (I actually did my own calculation using the step length and step count) and it says 4.37. 10,344 steps at 35 inch step = 5.7 miles, which is more accurate according to GPS.",Functionality and Features
A Google user,,,"This is a very good app for anyone who wants to GPS track walks. It even speaks giving updates and words of encouragement while walking, plus it's nice to have someone or something to talk to during these times of social distancing Ã°Å¸Ëâ¦ The latest update has a slight problem with Bluetooth playback breaking up and the adverts are too intrusive otherwise I would have given 5 stars.",Functionality and Features
Nigel Carter,,,"Basically I like this APP, But I would like to see a response to Hugh James' comment. I experience the same problem of added miles. Most recently a more serious problem; It starts off OK but, within a minute or so, it announces that I have covered a mile or two - at superhuman speed. It doesn't misbehave every time but, yesterday it happened twice in quick succession; It worked satisfactorily at the third restart.",Functionality and Features
John Bickel,,,Very helpful tracking walks or runs but distance always changes after tapping FINISH. usually lose distance when looking at day or week totals. For so.e reason lost step & calotie counter 2 weeks ago. Also ability to send or receive likes. Looks as if all are restored. Also lost all achievements and totals of steps and miles. Can these be restored?,User Interface and UX
Rob Allen,,,"Easy to use, and until just a couple of days ago, a seemingly accurate GPS tracker for the walks with my dog. It would start with .32 miles on it, I know weird amount, but then count off correctly. Hopefully the update fixes that. Oh, but I have made it across the Sahara and we'll on my way to the center of the earth... lol",Functionality and Features
xnestlex,,,"Really good for version with ads but it has really weird or inaccurate distance measurement. For example I do run with steps counter + GPS tracker, I do ru 10.26KM but when I get to weekly report my score is usually 2KM less then what real time tracker says... I do consider to purchase ads free version but I'd like to know if there's a bug with distance measurement. Overall I do recommend this app, it keeps me going!",Performance and Stability
Gangadhar Sharma,,,"I have been using this since 4 months. Till now I have worked close to 1000 kms. Since about a week, the distance shown is highly. Erratic. Some times too little..or even too high. I have the latest version of the app. I have sent a couple of emails with screenshots. But did not get t any response from you",Functionality and Features
Francis Tabin,,,"Almost perfect, just some minor glitches. The water drinking will not count your entry if you don't let the animation finish hahah, and the TTS voice settings do not seem to work. Also zero response from the tech support, but it does the job well enough to get 4 stars.",Functionality and Features
Ramy Abdel Wahab,,,"I started using it recently .. it is simple , easy to use ..Some benefits I liked : you can choose target distance, duration, calories or free mode..it updates you with your progress ""by voice"" every 10 minutes..There are daily reports and graphs to track your performance...One disadvantage: Few times it may hang ..Overall : Thanks Dear Programmers Ã°Å¸â",Performance and Stability
Chipo Nyasvisvo,,,"Very accurate. So far so good for me. The ads don't bother me much. They are not excessive. Wish it had more options to track your daily excercises. It only tracks, walk, run and bike. You cannot log previous workouts either like the other apps I've used in the past. Hence a 4/5 rating!",Functionality and Features
Katie Dolan,,,Only beginning to use app and already it is far better than others I've used! Setting goals and receiving achievements when completed has me eager to work harder and get more steps in each day Ã°Å¸âÂª My only question would be how to change distance from miles to kilometres?? Can't seem to find an option anywhere on the app..,Functionality and Features
Akhtar Manan,,,Its really a great App and step counting very accurately. There are a lot of more goals tables available which are really enjoyable and encouraging the achievement. However the widgets of this app if visible in the lock screen of mobile so it will be mire great and during walk there will not be required to unlock the screen.,Functionality and Features
Selina Wong,,,"Just started tracking my steps with this app. It's been wonderful! The only feedback that I want to give, is that I'd like it to automatically NOT count my driving as steps when I forget to pause. Pokemon Go for example doesn't allow driving to be counted towards egg hatching.",Functionality and Features
Karen Cremean,,,"Accurate steps and distance. For this, I am very pleased. I like GPS tracking, but I can't, FOR THE LIFE OF ME, turn off the VOICE! I have toggled every voice button to no avail. I DON'T WANT TO HEAR that I am half way to my goal. I DON'T WANT CONGRATULATIONS! I just want to finish in PEACE!",Functionality and Features
ExoticWaffle,,,"I've been using it for a while and really like it, but one time I did training and for some reason it did not count my steps correctly although it has worked fine before and nothing changed in my walking, apparently I walked 3 km with only 300 steps when it usually takes about 3000?Ã°Å¸Ëâ Other than that it's good, it was just kinda annoying that I met my daily goal but it didn't count it (although the distance was correct)",Functionality and Features
Anouschka van Wettum,,,"Great app, no annoying ads (very unusual for a free app) and it definitely urges me to move more. Funny awards to keep you motivated and great insights into your moving patterns daily. Only downside is that you'll need to charge more often but as it has to track your steps all the time it's understandable.",Functionality and Features
Lauckness Monster,,,"Works well. I think it sometimes picks up some steps while I'm driving in a parking lot, but you can avoid that by pausing when you get in the car. I wish you could switch your distance to km instead of miles though",Functionality and Features
Wadering Star,,,"It's great app. Just one feedback if it starts counting normal steps while we roam around the room, it will b great. Otherwise, it counts km, area where we walked (map), calories burnt, steps. It motivates us by showing diff levels. Best thing it's Free. Loving it",Functionality and Features
Ken & Lin-Marie,,,The app is great but I'm not sure what happened to make the step and calorie count screen disappear from my android phone home screen. Notifications are all on for this app. I don't want to uninstall and reinstall and lose my steps history. Any ideas?,Customer Support and Responsiveness
MLD,,,"Have tried a coupld of these and this is my favourite as it's simple and gives me the info I want. Also it doesn't guilt trip you if you don't exercise every day, or try and make you do more. Only downside is that it can turn itself off when I go out unless I check that it's still on and recording my steps.",Functionality and Features
Brian Silva,,,"So far good. Interface is clean and well laid out. My only suggestion to the developer would be to be able to input the stride of your walk in foot measurements as oppose to low, medium or high. Other than that, great app!",Customer Support and Responsiveness
Steve Utermahlen,,,The app works well. It provides me with essential info and current updates when reachinga goals. It has ads but what do you want from s free app. It does have a glitch when starting out like adding a few unearned steps but I delete them right away to get a more accurate count.,Functionality and Features
Amanda Clarke,,,"I have using this for the last 2 months and have found it really good. I like the achievements and that you can set your own goals, this keeps me motivated. The last 2 days the km having been calculating properly so just did an update so hopefully this will fix this glitch",Functionality and Features
Abigail Carroll,,,"I love this app but I am a little bit upset. I just got a new phone and since there was no way to save my previous progress, I have lost it all. App is really simple and easy to use. Very encouraging. It's fun and easy to aim for prescribed goals and even set your own.",Functionality and Features
Ed Short,,,"Like that you can turn it on and off, pause it. When you pause it, the background turns black, making it very difficult to read in sunlight. Works well for measuring distances, and creating walking routes.",Performance and Stability
Jyoti patel,,,"Great going,Our running is low, so it reminds us that we have to walk even more. We try to achieve something full. When we wake up in the morning, we do not use mobile, so our exercise and walking reading is not there, that is the fault, the rest of the app does excellent work.",Performance and Stability
Oxeye,,,"This was a pretty good app at one time, but now it just wears you out with ads and questionnaires. - I added a star because I still use the app and LFG responded to my review. The problem is that developers naturally want to monetize so every attempt to usually just makes the app worse. I feel their frustration but the bottom line is that with every tweak to wring some cash out of the thing, it further degrades it's usefulness.",Functionality and Features
A Google user,,,"Installed in conjunction with Map Tracker(strange this doesn't show in installed apps? May have installed it from within the app.) and accurately plots walks. Pedometer seems pretty accurate but distance covered widely out. Calculated length of step to use and increased sensitivity. Step length now 2' 10"". Should be over 7' tall. Haha! I've tried other trackers but this is the best. Found where to put personal details. Bltooth h/phs on and didn't burn too much battery. So good I've bought it",Functionality and Features
A Google user,,,Like the app. Seems very accurate. Will uninstall though if I can't find a way to turn off the verbal updates. Even with the phone sound off this app's audio still activates which is embarrassing at times.,Functionality and Features
